Date,Time,Round,Venue,Home.Team,Away.Team,Home.Points,Away.Points,AwayWin,HomeWin,Draw,Season,Match_id
2015-06-21,15:20,12, GMHBA Stadium,Geelong,Melbourne,89,113,1,0,0,2015,6065
2015-06-25,18:10,13, Domain Stadium,Fremantle,Collingwood,80,73,0,1,0,2015,6066
2015-06-26,19:50,13, SCG,Sydney,Richmond,77,95,1,0,0,2015,6067
2015-06-27,13:40,13, MCG,Hawthorn,Essendon,114,76,0,1,0,2015,6068
2015-06-27,16:35,13, Gabba,Brisbane,Adelaide,69,82,1,0,0,2015,6069
2015-06-27,19:20,13, Marvel Stadium,St Kilda,Western Bulldogs,56,62,1,0,0,2015,6070
2015-06-28,15:20,13, Marvel Stadium,Carlton,Gold Coast,103,69,0,1,0,2015,6071
2015-07-02,19:20,14, SCG,Sydney,Port Adelaide,94,84,0,1,0,2015,6072
2015-07-03,19:50,14, MCG,Collingwood,Hawthorn,91,101,1,0,0,2015,6073
2015-07-04,13:40,14, MCG,Richmond,GWS,78,69,0,1,0,2015,6074
2015-07-04,16:35,14, People First Stadium,Gold Coast,North Melbourne,125,70,0,1,0,2015,6075
2015-07-04,19:10,14, TIO Stadium,Melbourne,West Coast,60,114,1,0,0,2015,6077
2015-07-04,19:20,14, Marvel Stadium,Western Bulldogs,Carlton,64,53,0,1,0,2015,6076
2015-07-05,13:10,14, Marvel Stadium,Essendon,St Kilda,52,162,1,0,0,2015,6078
2015-07-05,14:40,14, Domain Stadium,Fremantle,Brisbane,84,48,0,1,0,2015,6080
2015-07-09,19:20,15, Adelaide Oval,Port Adelaide,Collingwood,66,63,0,1,0,2015,6081
2015-07-10,19:50,15, MCG,Richmond,Carlton,71,41,0,1,0,2015,6082
2015-07-11,13:40,15, MCG,Essendon,Melbourne,69,60,0,1,0,2015,6083
2015-07-11,16:35,15, Cazaly's Stadium,Western Bulldogs,Gold Coast,95,73,0,1,0,2015,6084
2015-07-11,17:40,15, Domain Stadium,West Coast,Adelaide,147,91,0,1,0,2015,6086
2015-07-11,19:20,15, Marvel Stadium,North Melbourne,Geelong,120,79,0,1,0,2015,6085
2015-07-12,13:10,15, ENGIE Stadium,GWS,St Kilda,84,49,0,1,0,2015,6087
2015-07-12,15:20,15, UTAS Stadium,Hawthorn,Fremantle,115,43,0,1,0,2015,6088
2015-07-12,16:40,15, Gabba,Brisbane,Sydney,49,70,1,0,0,2015,6089
2015-07-17,19:50,16, Marvel Stadium,North Melbourne,Essendon,93,68,0,1,0,2015,6090
2015-07-18,13:45,16, GMHBA Stadium,Geelong,Western Bulldogs,72,64,0,1,0,2015,6091
2015-07-18,14:10,16, People First Stadium,Gold Coast,GWS,79,94,1,0,0,2015,6092
2015-07-18,16:35,16, Marvel Stadium,Collingwood,West Coast,56,87,1,0,0,2015,6093
2015-07-18,17:40,16, Domain Stadium,Fremantle,Carlton,95,53,0,1,0,2015,6095
2015-07-18,19:20,16, Accor Stadium,Sydney,Hawthorn,57,146,1,0,0,2015,6094
2015-07-19,13:10,16, MCG,Melbourne,Brisbane,60,36,0,1,0,2015,6096
2015-07-19,14:50,16, Adelaide Oval,Port Adelaide,Adelaide,113,116,1,0,0,2015,6097
2015-07-19,16:40,16, Marvel Stadium,St Kilda,Richmond,73,89,1,0,0,2015,6098
2015-07-24,19:50,17, Marvel Stadium,Carlton,Hawthorn,35,173,1,0,0,2015,6099
2015-07-25,13:40,17, Adelaide Oval,Adelaide,Gold Coast,125,80,0,1,0,2015,6101
2015-07-25,13:45,17, Manuka Oval,GWS,Geelong,42,69,1,0,0,2015,6100
2015-07-25,16:35,17, MCG,Richmond,Fremantle,78,82,1,0,0,2015,6102
2015-07-25,19:20,17, Gabba,Brisbane,North Melbourne,38,110,1,0,0,2015,6104
2015-07-25,19:20,17, Marvel Stadium,Essendon,Port Adelaide,116,129,1,0,0,2015,6103
2015-07-26,13:10,17, Marvel Stadium,Western Bulldogs,Collingwood,104,86,0,1,0,2015,6105
2015-07-26,14:40,17, Domain Stadium,West Coast,Sydney,103,51,0,1,0,2015,6107
2015-07-26,15:20,17, MCG,Melbourne,St Kilda,46,83,1,0,0,2015,6106
2015-07-31,19:50,18, MCG,Hawthorn,Richmond,53,71,1,0,0,2015,6108
2015-08-01,13:45,18, GMHBA Stadium,Geelong,Brisbane,113,57,0,1,0,2015,6109
2015-08-01,14:10,18, MCG,Collingwood,Melbourne,54,91,1,0,0,2015,6110
2015-08-01,16:35,18, SCG,Sydney,Adelaide,117,65,0,1,0,2015,6111
2015-08-01,19:20,18, Marvel Stadium,Carlton,North Melbourne,54,118,1,0,0,2015,6112
2015-08-01,19:20,18, People First Stadium,Gold Coast,West Coast,83,83,0,0,1,2015,6113
2015-08-02,12:40,18, Adelaide Oval,Port Adelaide,St Kilda,112,49,0,1,0,2015,6114
2015-08-02,14:40,18, Domain Stadium,Fremantle,GWS,84,63,0,1,0,2015,6116
2015-08-02,15:20,18, Marvel Stadium,Essendon,Western Bulldogs,40,127,1,0,0,2015,6115
2015-08-07,19:20,19, Adelaide Oval,Adelaide,Richmond,88,52,0,1,0,2015,6117
2015-08-08,13:45,19, MCG,Collingwood,Carlton,105,87,0,1,0,2015,6118
2015-08-08,14:10,19, Marvel Stadium,Western Bulldogs,Port Adelaide,128,64,0,1,0,2015,6119
2015-08-08,16:35,19, Gabba,Brisbane,Gold Coast,100,114,1,0,0,2015,6120
2015-08-08,17:40,19, Domain Stadium,West Coast,Hawthorn,74,88,1,0,0,2015,6122
2015-08-08,19:20,19, GMHBA Stadium,Geelong,Sydney,95,63,0,1,0,2015,6121
2015-08-09,13:10,19, MCG,Melbourne,North Melbourne,92,127,1,0,0,2015,6123
2015-08-09,15:20,19, ENGIE Stadium,GWS,Essendon,93,61,0,1,0,2015,6124
2015-08-09,16:40,19, Marvel Stadium,St Kilda,Fremantle,59,96,1,0,0,2015,6125
2015-08-14,19:50,20, SCG,Sydney,Collingwood,87,76,0,1,0,2015,6126
2015-08-15,13:45,20, Marvel Stadium,Essendon,Adelaide,59,171,1,0,0,2015,6127
2015-08-15,14:10,20, Ninja Stadium,North Melbourne,St Kilda,120,83,0,1,0,2015,6128
2015-08-15,16:05,20, Adelaide Oval,Port Adelaide,GWS,111,90,0,1,0,2015,6129
2015-08-15,19:20,20, Gabba,Brisbane,Carlton,131,67,0,1,0,2015,6131
2015-08-15,19:20,20, MCG,Geelong,Hawthorn,85,121,1,0,0,2015,6130
2015-08-16,13:10,20, MCG,Richmond,Gold Coast,138,55,0,1,0,2015,6132
2015-08-16,14:40,20, Domain Stadium,Fremantle,West Coast,80,104,1,0,0,2015,6134
2015-08-16,15:20,20, Marvel Stadium,Western Bulldogs,Melbourne,153,55,0,1,0,2015,6133
2015-08-21,19:50,21, Marvel Stadium,Hawthorn,Port Adelaide,86,108,1,0,0,2015,6135
2015-08-22,13:45,21, MCG,Collingwood,Richmond,56,147,1,0,0,2015,6136
2015-08-22,14:10,21, ENGIE Stadium,GWS,Sydney,44,133,1,0,0,2015,6137
2015-08-22,16:35,21, People First Stadium,Gold Coast,Essendon,97,95,0,1,0,2015,6138
2015-08-22,19:10,21, Adelaide Oval,Adelaide,Brisbane,131,44,0,1,0,2015,6140
2015-08-22,19:20,21, Marvel Stadium,St Kilda,Geelong,97,97,0,0,1,2015,6139
2015-08-23,13:10,21, Marvel Stadium,North Melbourne,Fremantle,94,83,0,1,0,2015,6141
2015-08-23,14:40,21, Domain Stadium,West Coast,Western Bulldogs,162,85,0,1,0,2015,6143
2015-08-23,15:20,21, MCG,Carlton,Melbourne,78,55,0,1,0,2015,6142
2015-08-28,19:50,22, MCG,Geelong,Collingwood,62,110,1,0,0,2015,6144
2015-08-29,13:45,22, ENGIE Stadium,GWS,Carlton,132,51,0,1,0,2015,6145
2015-08-29,14:10,22, UTAS Stadium,Hawthorn,Brisbane,134,62,0,1,0,2015,6146
2015-08-29,16:35,22, Marvel Stadium,North Melbourne,Western Bulldogs,73,96,1,0,0,2015,6147
2015-08-29,19:20,22, People First Stadium,Gold Coast,Port Adelaide,51,88,1,0,0,2015,6149
2015-08-29,19:20,22, MCG,Essendon,Richmond,47,74,1,0,0,2015,6148
2015-08-30,12:40,22, Adelaide Oval,Adelaide,West Coast,126,69,0,1,0,2015,6150
2015-08-30,14:40,22, Domain Stadium,Fremantle,Melbourne,108,54,0,1,0,2015,6152
2015-08-30,15:20,22, Marvel Stadium,St Kilda,Sydney,38,135,1,0,0,2015,6151
2015-09-04,19:50,23, Marvel Stadium,Richmond,North Melbourne,108,67,0,1,0,2015,6154
2015-09-05,13:05,23, GMHBA Stadium,Geelong,Adelaide,119,80,0,1,0,2015,6156
2015-09-05,13:45,23, Gabba,Brisbane,Western Bulldogs,130,122,0,1,0,2015,6159
2015-09-05,15:20,23, Adelaide Oval,Port Adelaide,Fremantle,122,53,0,1,0,2015,6160
2015-09-05,16:40,23, MCG,Hawthorn,Carlton,113,56,0,1,0,2015,6155
2015-09-05,17:40,23, Domain Stadium,West Coast,St Kilda,125,30,0,1,0,2015,6161
2015-09-05,19:20,23, SCG,Sydney,Gold Coast,127,64,0,1,0,2015,6157
2015-09-06,13:10,23, Marvel Stadium,Melbourne,GWS,103,77,0,1,0,2015,6158
2015-09-06,15:20,23, MCG,Collingwood,Essendon,92,95,1,0,0,2015,6153
2015-09-11,18:20,25, Domain Stadium,West Coast,Hawthorn,96,64,0,1,0,2015,6163
2015-09-12,13:20,25, Domain Stadium,Fremantle,Sydney,69,60,0,1,0,2015,6164
2015-09-12,19:20,25, MCG,Western Bulldogs,Adelaide,102,109,1,0,0,2015,6165
2015-09-13,15:20,25, MCG,Richmond,North Melbourne,88,105,1,0,0,2015,6166
2015-09-18,19:50,26, MCG,Hawthorn,Adelaide,135,61,0,1,0,2015,6167
2015-09-19,19:20,26, Accor Stadium,Sydney,North Melbourne,51,77,1,0,0,2015,6168
2015-09-25,18:20,27, Domain Stadium,Fremantle,Hawthorn,67,94,1,0,0,2015,6169
2015-09-26,17:45,27, Domain Stadium,West Coast,North Melbourne,80,55,0,1,0,2015,6170
2015-10-03,14:30,28, MCG,Hawthorn,West Coast,107,61,0,1,0,2015,6171
2016-03-24,19:20,1, MCG,Richmond,Carlton,92,83,0,1,0,2015,6172
2016-03-26,13:40,1, MCG,Melbourne,GWS,80,78,0,1,0,2015,6173
2016-03-26,15:35,1, People First Stadium,Gold Coast,Essendon,121,60,0,1,0,2015,6174
2016-03-26,19:25,1, Accor Stadium,Sydney,Collingwood,133,53,0,1,0,2015,6176
2016-03-26,19:25,1, Marvel Stadium,North Melbourne,Adelaide,107,97,0,1,0,2015,6175
2016-03-27,13:10,1, Marvel Stadium,Western Bulldogs,Fremantle,103,38,0,1,0,2015,6177
2016-03-27,14:50,1, Adelaide Oval,Port Adelaide,St Kilda,133,100,0,1,0,2015,6178
2016-03-27,16:40,1, Domain Stadium,West Coast,Brisbane,166,102,0,1,0,2015,6179
2016-03-28,15:20,1, MCG,Geelong,Hawthorn,116,86,0,1,0,2015,6180
2016-04-01,19:50,2, MCG,Collingwood,Richmond,87,86,0,1,0,2015,6181
2016-04-02,13:15,2, Adelaide Oval,Adelaide,Port Adelaide,144,86,0,1,0,2015,6182
2016-04-02,14:10,2, MCG,Essendon,Melbourne,80,67,0,1,0,2015,6183
2016-04-02,15:35,2, Gabba,Brisbane,North Melbourne,83,117,1,0,0,2015,6184
2016-04-02,16:40,2, Domain Stadium,Fremantle,Gold Coast,100,126,1,0,0,2015,6186
2016-04-02,19:25,2, Marvel Stadium,St Kilda,Western Bulldogs,36,93,1,0,0,2015,6185
2016-04-03,13:10,2, Manuka Oval,GWS,Geelong,89,76,0,1,0,2015,6187
2016-04-03,15:20,2, MCG,Hawthorn,West Coast,99,53,0,1,0,2015,6188
2016-04-03,16:40,2, Marvel Stadium,Carlton,Sydney,71,131,1,0,0,2015,6189
2016-04-08,19:20,3, Adelaide Oval,Port Adelaide,Essendon,112,51,0,1,0,2015,6190
2016-04-09,13:45,3, MCG,St Kilda,Collingwood,119,90,0,1,0,2015,6191
